entity,epoch,relation,step,train_acc_step,train_loss_step,user
0.05955228954553604,0,0.006164045073091984,49,0.59375,0.720280947862193,0.060414839535951614
0.07793761044740677,0,0.04295691102743149,99,0.53125,0.8697555536055006,0.11568910628557205
0.09525112062692642,0,0.02453911304473877,149,0.59375,0.9701117017539218,0.12204617261886597
0.07272737473249435,0,0.1223079115152359,199,0.46875,0.7721833852119744,0.22937987744808197
0.0759502425789833,0,0.11659496277570724,249,0.3125,1.0424021818907931,0.3413395881652832
0.07720465958118439,0,0.004628714174032211,299,0.5625,1.0371101394703146,0.0926237553358078
0.06976329535245895,0,0.08567702770233154,349,0.46875,0.9654124696098734,0.1824178546667099
0.07582767307758331,0,0.011804795823991299,399,0.5,0.965862173257392,0.1245507001876831
0.09266011416912079,0,0.030988313257694244,449,0.4375,0.9906469311317778,0.07967086136341095
0.0880713164806366,0,0.00017269287491217256,499,0.625,0.8143692596713663,0.08170397579669952
0.04782726988196373,0,0.0006739925011061132,549,0.46875,0.6890549242380075,0.06219334900379181
0.09221693873405457,0,0.01780357025563717,599,0.5,0.9349192883237265,0.11360874027013779
0.16014744341373444,0,0.13363368809223175,649,0.40625,2.271107501348572,0.24813517928123474
0.06226689741015434,0,0.01300486084073782,699,0.5,0.8530024497304112,0.07341009378433228
0.06167573854327202,0,0.0005210119998082519,749,0.53125,0.8461553136367002,0.09755542129278183
0.09007495641708374,0,0.014624327421188354,799,0.4375,1.2248566064013886,0.12472036480903625
0.05838172137737274,0,0.10156716406345367,849,0.46875,0.8751335514061793,0.2228505164384842
0.08732432126998901,0,0.023061465471982956,899,0.5,0.9839597834512688,0.09426857531070709
0.133504718542099,0,0.20711888372898102,949,0.46875,1.2809473582456121,0.33753639459609985
0.1037580668926239,0,0.004954468458890915,999,0.59375,1.0576437024137704,0.10715770721435547
0.09372897446155548,0,0.0007914209272712469,1049,0.375,1.1979529726013425,0.14146634936332703
0.06146491318941116,0,0.008512770757079124,1099,0.71875,0.8552901672082953,0.08301903307437897
0.07254290580749512,0,0.011859308928251266,1149,0.375,0.7412933677114779,0.0748218223452568
0.055159036070108414,0,0.0005595135735347867,1199,0.53125,0.7660470816772431,0.08777949213981628
0.08391232043504715,0,0.09011054784059525,1249,0.5,0.9354712917447614,0.26285311579704285
0.09061907231807709,0,3.702925459947437e-05,1299,0.46875,1.0689876578835538,0.12791301310062408
0.08555955439805984,0,5.031396099752783e-08,1349,0.5625,0.8026262432103977,0.10214671492576599
0.040173131972551346,0,1.508353079771041e-06,1399,0.375,0.7108968319371343,0.04605558142066002
0.03203866630792618,0,6.0628120991168544e-05,1449,0.65625,0.6176271701842779,0.025150975212454796
0.05985617637634277,0,0.014060909859836102,1499,0.46875,0.6976286751159932,0.12005685269832611
0.06785906106233597,0,1.4934082628315082e-06,1549,0.5,0.7630966329015791,0.06437726318836212
0.07326877117156982,0,4.831140358874109e-06,1599,0.4375,0.8765381585399155,0.06487750262022018
0.06677492707967758,0,1.6897698174034304e-07,1649,0.46875,1.01591270464246,0.06816732883453369
