epoch,step,train_acc_step,train_loss_step
0,9,0.71875,0.6815696110134013
0,19,0.5,0.693216884683352
0,29,0.375,0.695335135620553
0,39,0.59375,0.6905276815668913
0,49,0.5,0.6972673887503333
0,59,0.5625,0.696919251116924
0,69,0.5,0.6923253234126605
0,79,0.4375,0.6967363244984881
0,89,0.4375,0.6961885353011894
0,99,0.625,0.6912950577061565
0,109,0.46875,0.6919389249942469
0,119,0.5,0.6922796796607145
0,129,0.4375,0.6947368101427855
0,139,0.5,0.6941129333099525
0,149,0.40625,0.6947547619674879
0,159,0.625,0.6939511855307501
0,169,0.4375,0.6926669144190782
0,179,0.46875,0.6929092662612675
0,189,0.4375,0.6928947800333844
0,199,0.53125,0.6931194843855337
0,209,0.46875,0.6928668120317525
0,219,0.46875,0.6928776566467629
0,229,0.5625,0.6931302940729438
0,239,0.5,0.6936282478898192
0,249,0.5,0.6930392653637227
0,259,0.59375,0.693129685664303
0,269,0.46875,0.6931151426142605
